"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
64905,232,89,0.383620689655172
64907,57,17,0.298245614035088
64910,20,4,0.2
64915,23,71,1
64916,8,18,1
64917,28,4,0.142857142857143
64919,68,100,1
64920,45,21,0.466666666666667
64921,90,15,0.166666666666667
64924,823,234,0.284325637910085
64931,700,12,0.0171428571428571
64934,596,199,0.333892617449664
64935,107,7,0.0654205607476635
64936,18,24,1
64938,51,17,0.333333333333333
64941,59,20,0.338983050847458
64942,80,74,0.925
64943,45,13,0.288888888888889
64944,468,217,0.463675213675214
64945,87,9,0.103448275862069
64946,157,31,0.197452229299363
64949,136,45,0.330882352941176
64950,20,10,0.5
64951,1775,192,0.108169014084507
64952,20,3,0.15
64953,226,57,0.252212389380531
64954,40,97,1
64956,9,7,0.777777777777778
64958,72,6,0.0833333333333333
64960,40,24,0.6
64961,12,83,1
64969,24,15,0.625
64971,173,56,0.323699421965318
64973,29,37,1
64975,12,6,0.5
64976,75,44,0.586666666666667
64978,68,15,0.220588235294118
64980,22,9,0.409090909090909
64983,29,57,1
64985,195,84,0.430769230769231
64986,80,62,0.775
64987,35,11,0.314285714285714
64988,48,21,0.4375
64989,80,9,0.1125
64990,35,17,0.485714285714286
64993,487,202,0.414784394250513
65001,212,59,0.278301886792453
65005,4,33,1
65007,141,54,0.382978723404255
65010,89,30,0.337078651685393
65015,30,14,0.466666666666667
65016,107,33,0.308411214953271
65019,232,217,0.935344827586207
65022,34,19,0.558823529411765
65024,250,8,0.032
65025,42,9,0.214285714285714
65026,43,60,1
65027,33,14,0.424242424242424
65028,215,147,0.683720930232558
65031,45,30,0.666666666666667
65037,759,493,0.649538866930171
65039,9,27,1
65041,50,6,0.12
65045,253,7,0.0276679841897233
65051,118,48,0.406779661016949
65053,122,39,0.319672131147541
65054,107,133,1
65055,169,131,0.775147928994083
65057,72,48,0.666666666666667
65062,96,31,0.322916666666667
65063,119,18,0.151260504201681
65066,174,38,0.218390804597701
65067,54,6,0.111111111111111
65069,200,71,0.355
65070,26,5,0.192307692307692
65074,10,4,0.4
65076,51,16,0.313725490196078
65078,54,10,0.185185185185185
65083,18,4,0.222222222222222
65086,234,11,0.047008547008547
65087,5,4,0.8
65088,12,4,0.333333333333333
65090,24,6,0.25
65093,61,14,0.229508196721311
65095,89,22,0.247191011235955
65097,68,14,0.205882352941176
65098,26,11,0.423076923076923
65100,124,115,0.92741935483871
65101,29,61,1
65102,154,141,0.915584415584416
65108,9,102,1
65111,33,10,0.303030303030303
65117,15,3,0.2
65119,21,148,1
65120,78,31,0.397435897435897
65127,78,80,1
65129,19,13,0.684210526315789
65142,107,109,1
65143,8,30,1
65145,31,29,0.935483870967742
65147,77,26,0.337662337662338
65149,50,16,0.32
65150,22,30,1
65151,32,5,0.15625
65168,120,7,0.0583333333333333
65172,213,170,0.7981220657277
65175,17,5,0.294117647058824
65179,102,97,0.950980392156863
65184,42,16,0.380952380952381
65186,8,17,1
65188,128,71,0.5546875
65195,265,57,0.215094339622642
