Combo.FIPS,CBP.2.Digit.NAICS,employees
2185,54,249
2185,55,249
2185,56,99
2185,61,249
2185,62,249
2185,71,99
2185,72,999
2185,81,99
2188,0,1707
2188,21,499
2188,22,99
2188,23,32
2188,44,182
2188,48,189
2188,51,99
2188,52,19
2188,53,19
2188,54,19
2188,55,99
2188,56,35
2188,61,19
2188,62,999
2188,71,99
2188,72,99
2188,81,99
2201,0,702
2201,11,99
2201,21,19
2201,22,99
2201,23,58
2201,31,99
2201,42,20
2201,44,228
2201,48,15
2201,51,19
2201,52,19
2201,53,19
2201,54,19
2201,56,19
2201,61,19
2201,62,99
2201,71,19
2201,72,99
2201,81,28
2220,0,3424
2220,11,22
2220,23,219
2220,31,251
2220,42,99
2220,44,623
2220,48,178
2220,51,99
2220,52,73
2220,53,249
2220,54,41
2220,55,19
2220,56,99
2220,61,46
2220,62,874
2220,71,99
2220,72,576
2220,81,125
2220,99,19
2232,0,447
2232,11,19
2232,22,99
2232,23,19
2232,31,19
2232,42,19
2232,44,116
2232,48,99
2232,51,19
2232,52,19
2232,53,19
2232,54,19
2232,56,8
2232,62,99
2232,71,22
2232,72,99
2232,81,19
2240,0,783
2240,11,5
2240,21,19
2240,22,99
2240,23,99
2240,31,19
2240,42,29
2240,44,202
2240,48,70
2240,51,11
2240,52,22
2240,53,13
2240,54,19
2240,56,55
2240,61,26
2240,62,85
2240,71,4
2240,72,125
2240,81,28
2261,0,2729
2261,11,99
2261,21,19
2261,22,99
2261,23,64
2261,31,145
2261,42,123
2261,44,311
2261,48,999
2261,51,99
2261,52,39
2261,53,249
2261,54,64
2261,55,99
2261,56,99
2261,61,19
2261,62,342
2261,71,78
2261,72,239
2261,81,272
2270,0,556
2270,23,19
2270,42,19
2270,44,309
2270,48,83
2270,52,19
2270,53,19
2270,54,19
2270,56,19
2270,61,249
2270,62,19
2270,71,99
2270,81,19
2280,0,1519
2280,11,49
2280,22,19
2280,23,47
2280,31,179
2280,42,19
2280,44,435
2280,48,67
2280,51,44
2280,52,31
2280,53,19
2280,54,12
2280,55,19
2280,56,18
2280,61,9
2280,62,499
2280,71,19
2280,72,119
2280,81,99
2280,99,19
2282,0,118
2282,11,19
2282,23,19
2282,31,19
2282,42,19
2282,44,99
2282,48,99
2282,51,19
2282,53,19
2282,55,19
2282,62,19
2282,71,19
2282,72,19
2282,81,19
2290,0,377
2290,11,19
2290,21,5
2290,22,14
2290,23,8
2290,42,19
2290,44,161
2290,48,99
2290,51,19
2290,53,19
2290,54,19
2290,55,19
2290,56,19
2290,62,21
2290,71,19
2290,72,38
2290,81,19
4000,0,41693
4000,21,249
4000,42,999
4000,44,19
4000,51,280
4000,52,1394
4000,53,19
4000,54,2499
4000,55,19
4000,56,37087
4000,61,19
4000,81,19
4001,0,7526
4001,11,19
4001,21,69
4001,22,499
4001,23,278
4001,31,249
4001,42,61
4001,44,1143
4001,48,99
4001,51,99
4001,52,78
4001,53,48
4001,54,196
4001,55,19
4001,56,124
4001,61,437
4001,62,3174
4001,71,22
4001,72,1024
4001,81,167
4001,99,19
4003,0,28407
4003,11,19
4003,21,99
4003,22,471
4003,23,1576
4003,31,512
4003,42,401
4003,44,5675
4003,48,582
4003,51,407
4003,52,561
4003,53,481
4003,54,4457
4003,55,249
4003,56,1936
4003,61,438
4003,62,5032
4003,71,311
4003,72,4188
4003,81,1076
4003,99,19
4005,0,44916
4005,11,12
4005,21,27
4005,22,249
4005,23,2168
4005,31,4999
4005,42,886
4005,44,7784
4005,48,1535
4005,51,542
4005,52,834
4005,53,756
4005,54,1749
4005,55,350
4005,56,1228
4005,61,520
4005,62,7328
4005,71,1355
4005,72,11027
4005,81,1749
4005,99,19
4007,0,11724
