"","NAME","state","county","county_fips","state_fips","C24030_001","C24030_029","B20005_003","B20005_050","B20005B_003","B20005B_050","B20005I_003","B20005I_050","B23013_001","B23006_005","B23006_012","B23006_019","B23006_026","B19013_001","year"
"162","Sebastian County, Arkansas",5,"131","131","05",53748,24760,22200,15438,971,1055,2571,943,40.1,5935,14710,16045,9950,39131,2009
"163","Sevier County, Arkansas",5,"133","133","05",6772,2874,2910,1740,151,50,945,346,38.2,1706,1917,1735,630,34090,2009
"164","Sharp County, Arkansas",5,"135","135","05",5843,2817,2252,1570,28,17,30,60,42,706,2314,1469,735,29589,2009
"165","Stone County, Arkansas",5,"137","137","05",4556,2271,1455,1096,0,0,20,12,42.5,610,1749,1125,317,27167,2009
"166","Union County, Arkansas",5,"139","139","05",17365,8256,6937,5519,1437,1575,173,9,41.2,1540,5395,5114,3189,35732,2009
"167","Van Buren County, Arkansas",5,"141","141","05",5655,2255,2005,1277,0,0,22,12,42.7,459,2050,1836,723,30531,2009
"168","Washington County, Arkansas",5,"143","143","05",95909,43930,38269,26652,1011,848,5000,2195,35.3,11130,21726,22351,26662,43317,2009
"169","White County, Arkansas",5,"145","145","05",32348,15211,11747,8614,338,347,386,114,37.8,2959,10796,7646,5515,38417,2009
"170","Woodruff County, Arkansas",5,"147","147","05",3251,1555,1409,901,281,191,10,0,42.8,464,1325,703,393,27880,2009
"171","Yell County, Arkansas",5,"149","149","05",9268,4080,4279,2816,109,60,935,394,38.9,2145,3493,1545,821,36398,2009
"172","Apache County, Arizona",4,"001","001","04",18644,9387,5228,4244,0,0,364,202,41.1,2248,6057,6945,2549,28378,2009
"173","Cochise County, Arizona",4,"003","003","04",47116,22519,21814,13673,1314,850,5707,3710,41.3,4583,8410,16691,10682,43304,2009
"174","Coconino County, Arizona",4,"005","005","04",62296,30035,21128,15876,238,107,2977,1884,37.3,3977,11346,16280,16190,48259,2009
"175","Gila County, Arizona",4,"007","007","04",17897,8158,7024,4852,15,9,1062,769,45.5,1613,5338,6520,2280,36930,2009
"176","Graham County, Arizona",4,"009","009","04",12502,5664,5145,3196,55,0,1311,952,37.7,1125,3420,4391,1710,40889,2009
"177","Greenlee County, Arizona",4,"011","011","04",3278,1361,1590,820,11,9,686,382,42.5,200,1079,1332,547,45476,2009
"178","La Paz County, Arizona",4,"012","012","04",6737,3231,2708,1464,12,20,1019,345,41.4,1578,1658,2002,610,31640,2009
"179","Maricopa County, Arizona",4,"013","013","04",1811345,797637,779787,507113,29495,23345,245030,116673,37.8,207289,353305,528397,488453,55223,2009
"180","Mohave County, Arizona",4,"015","015","04",73446,34830,26531,20305,157,163,3968,2787,42.1,8471,21927,24022,9268,40157,2009
"181","Navajo County, Arizona",4,"017","017","04",38134,18129,12505,9988,126,178,1180,893,40.8,4194,10208,14589,5478,38197,2009
"182","Pima County, Arizona",4,"019","019","04",436795,206031,167417,119851,5041,3774,51637,34933,39.1,37647,87932,134212,119470,45885,2009
"183","Pinal County, Arizona",4,"021","021","04",114106,51095,50172,31951,1206,1139,14852,8312,37.9,11399,27567,39991,21519,49301,2009
"184","Santa Cruz County, Arizona",4,"023","023","04",14601,6583,5975,4326,41,3,4741,3151,42,2573,4675,3426,2434,37204,2009
"185","Yavapai County, Arizona",4,"025","025","04",89104,42317,30681,23467,369,91,4755,2291,44.1,6948,20453,29422,19309,43965,2009
"186","Yuma County, Arizona",4,"027","027","04",64447,28587,29121,16086,842,337,15831,8744,38.8,15327,13558,18385,8636,38854,2009
"187","Alameda County, California",6,"001","001","06",710501,329969,276510,197690,24057,28374,59094,32474,39.7,66103,120030,171359,300407,68863,2009
"188","Alpine County, California",6,"003","003","06",528,287,189,135,0,0,0,0,44.3,19,147,197,153,54605,2009
"189","Amador County, California",6,"005","005","06",14487,7180,5258,3643,0,62,177,185,46,645,3918,5862,3119,57347,2009
"190","Butte County, California",6,"007","007","06",91587,43976,29162,20496,270,179,3531,2267,37.3,6456,14523,28471,21148,42002,2009
"191","Calaveras County, California",6,"009","009","06",19682,9134,7677,5394,59,130,724,526,46,1063,5526,7358,3826,57676,2009
"192","Colusa County, California",6,"011","011","06",8421,3455,3033,1833,53,0,1303,860,38.8,2438,1691,2314,1010,47150,2009
"193","Contra Costa County, California",6,"013","013","06",480822,221603,186941,126734,13681,13149,40880,22060,41.9,39692,78650,133764,181198,77838,2009
"194","Del Norte County, California",6,"015","015","06",10357,5093,3177,2291,0,0,472,165,41.6,722,2300,3801,1771,38408,2009
"195","El Dorado County, California",6,"017","017","06",86196,39499,31625,21741,147,138,3478,2353,44.2,4845,15607,29571,26855,70765,2009
"196","Fresno County, California",6,"019","019","06",363790,162727,140039,89501,4753,4072,64203,36705,37.4,70432,69899,106568,75053,46230,2009
"197","Glenn County, California",6,"021","021","06",11610,4901,4595,2319,4,36,1640,694,40,2395,2302,3283,1905,40973,2009
"198","Humboldt County, California",6,"023","023","06",58877,27828,18730,12678,192,86,1617,1134,38.1,2535,11272,18186,14751,39124,2009
"199","Imperial County, California",6,"025","025","06",54276,24310,21428,13096,406,297,15026,9599,39.2,12071,11839,17174,8321,37595,2009
"200","Inyo County, California",6,"027","027","06",8531,4014,3268,2299,0,10,607,443,45,672,1982,3048,1645,44952,2009
"201","Kern County, California",6,"029","029","06",297398,128961,123451,71671,4928,3941,51453,26702,37.8,59995,71548,83390,46198,46216,2009
"202","Kings County, California",6,"031","031","06",51033,19827,27238,11022,2518,628,11443,3886,35.3,10461,12396,16093,6580,46595,2009
"203","Lake County, California",6,"033","033","06",25625,12362,8926,6148,112,30,1691,917,43.5,2558,7353,8509,4742,41182,2009
"204","Lassen County, California",6,"035","035","06",10860,4975,4672,2838,91,33,378,180,39.8,476,2393,4810,1816,48653,2009
"205","Los Angeles County, California",6,"037","037","06",4522378,2025241,1835099,1236686,114064,129901,886068,503173,38.5,823711,829523,1088451,1328074,54828,2009
"206","Madera County, California",6,"039","039","06",52098,22029,21899,13021,381,675,10757,4886,39.3,12454,11432,15557,7483,46083,2009
