petition_number,cert_wrkrs_pet,partic_pet
70468,21,13
70470,23,4
70471,58,16
70472,501,20
70473,473,8
70474,41,14
70475,335,110
70477,62,11
70478,112,7
70479,40,9
70481,170,52
70484,20,4
70486,51,10
70488,135,10
70489,257,89
70490,441,24
70492,136,18
70494,625,206
70496,9,10
70497,15,5
70498,120,28
70500,451,191
70504,96,111
70505,379,105
70506,12,6
70507,146,100
70508,89,10
70509,21,7
70510,34,9
70511,53,24
70515,70,50
70517,127,28
70518,234,39
70520,3200,827
70521,37,31
70522,300,146
70525,110,3
70526,37,17
70527,101,14
70528,295,5
70530,47,8
70531,139,7
70533,50,19
70534,90,13
70536,243,35
70538,20,12
70539,207,31
70542,61,31
70544,181,19
70545,164,59
70546,5,5
70547,4,4
70550,24,3
70551,452,10
70554,26,5
70555,32,13
70556,250,69
70558,69,13
70561,43,3
70563,29,13
70564,5,19
70565,45,55
70566,32,3
70567,44,21
70568,212,46
70569,151,19
70570,256,35
70572,385,11
70574,78,31
70575,1000,199
70576,12,4
70579,179,56
70581,38,3
70582,179,62
70586,24,5
70587,50,105
70588,299,121
70589,14,5
70590,67,12
70592,333,165
70593,285,104
70594,43,5
70595,315,209
70596,50,32
70597,171,96
70598,42,8
70600,115,10
70603,71,84
70607,100,21
70609,8,3
70610,90,53
70611,302,14
70612,107,71
70613,694,90
70616,200,40
70617,200,27
70619,67,17
70621,35,94
70623,1423,241
70624,100,35
70626,95,29
70627,190,40
70628,61,3
70630,113,58
70634,12,3
70636,20,3
70637,50,23
70640,224,56
70645,113,20
70647,109,26
70650,200,17
70652,564,142
70655,69,11
70658,28,34
70659,11,9
70666,105,50
70668,54,10
70669,278,68
70670,46,5
70671,203,59
70672,847,50
70674,15,8
70675,716,117
70676,36,5
70677,173,4
70679,87,10
70680,109,26
70681,44,14
70682,14,9
70683,137,10
70684,140,53
70686,10,5
70687,20,3
70689,21,5
70690,82,16
70691,36,5
70694,20,11
70696,15,12
70697,31,3
70698,32,13
70703,64,68
70704,45,70
70707,121,25
70710,22,10
70711,28,3
70712,34,3
70714,62,39
70716,45,18
70717,43,8
70720,32,11
70722,177,23
70723,81,45
70724,117,23
70725,33,10
70728,56,13
70729,104,63
70734,371,33
70735,23,27
70737,204,17
70738,49,35
70740,600,73
70742,40,3
70744,245,120
70748,40,5
70750,11,6
70752,256,51
70753,166,77
70756,23,4
70758,75,7
70761,24,16
70763,10,5
70764,170,5
70765,135,23
70766,63,79
70767,42,270
70768,6,3
70775,33,11
70776,219,132
70777,80,7
70779,520,178
70780,102,14
70781,76,26
70782,23,5
70784,315,349
70788,169,21
70789,599,59
70791,121,37
70794,54,4
70795,83,4
70796,23,5
70797,43,4
70798,15,6
70805,480,66
70806,600,170
70807,73,112
70808,103,28
70810,9,11
70811,169,74
70812,156,39
70813,236,119
70814,53,91
70820,68,18
70821,23,25
70823,136,61
70825,7,5
70826,26,12
70827,96,29
70832,12,3
70833,14,3
70834,52,9
70836,16,5
70837,130,31
70838,231,35
70839,244,93
70841,18,9
70842,50,13
70848,147,24
70849,12,9
70850,261,66
70851,68,8
70852,103,20
70854,188,50
70857,175,40
70859,8,3
70865,15,8
70867,27,28
70870,38,10
70873,74,19
70879,233,40
70880,37,19
70881,61,9
70882,73,97
70883,10,8
70885,23,6
70887,32,17
70889,60,26
70891,20,9
70892,17,6
70897,30,21
70902,24,4
70903,1344,597
70907,9,37
70908,4,3
70909,14,6
70910,121,51
70911,23,15
70912,105,6
70913,95,14
70914,382,211
70915,28,7
70916,80,3
70918,130,4
70919,45,7
70923,82,41
70924,53,34
70926,37,17
70927,64,16
70930,10,4
70931,143,13
70934,154,22
70935,97,27
70936,16,4
70937,87,30
70939,22,7
70940,56,16
70945,53,14
70947,20,4
70948,1085,20
70950,29,9
70954,13,9
70957,43,6
70959,101,36
70960,98,31
70961,61,38
70963,39,9
70964,101,11
70966,119,3
70968,886,199
70969,45,11
70970,129,257
70971,20,4
70972,43,14
70974,34,15
70975,243,75
70978,213,24
70981,127,24
70984,374,130
70985,34,3
70986,20,10
70988,196,38
70989,151,32
70993,220,104
70994,177,46
70995,3,6
70996,6,3
70999,60,14
71000,191,15
71003,40,4
71004,160,101
71008,28,4
71009,36,15
71010,43,5
71012,251,57
71013,48,12
71018,40,71
71020,9,29
71021,17,13
71022,65,64
71023,236,30
71026,11,3
71028,88,22
71030,20,4
71031,4,5
71032,32,100
71033,40,5
71035,90,16
71036,15,3
71037,156,33
71040,50,27
71043,2500,191
71044,235,59
71045,36,9
71046,165,28
71047,6,4
71048,57,12
71049,19,13
71050,60,17
71053,28,20
71054,445,115
71055,49,11
71056,226,136
71058,242,9
71059,28,4
71060,21,15
71061,21,16
71062,104,24
71064,67,33
71065,55,22
71067,120,76
71071,76,43
71072,24,3
71077,734,313
71078,110,8
71079,38,22
71081,16,12
71082,150,133
71084,117,12
71085,40,7
71088,20,19
71090,10,5
71095,9,5
71101,67,37
71103,86,22
71106,15,22
71108,0,16
71111,312,10
71114,72,21
71116,252,58
71117,37,20
71118,43,19
71119,159,68
71120,52,7
71123,228,53
71125,39,10
71127,30,37
71129,25,5
71131,79,26
71132,1897,308
71134,27,3
71136,8,14
71137,51,18
71139,27,9
71140,346,272
71141,51,28
71143,17,4
71149,353,106
71152,347,359
71153,73,8
71155,42,19
71157,28,21
71158,300,6
71160,75,8
71161,38,9
71162,49,9
71164,176,47
71166,30,4
71167,39,12
71168,65,11
71169,8,3
71170,153,99
71171,110,8
71172,38,98
71173,15,3
71174,2000,76
71175,45,14
71177,277,45
71179,17,3
71181,172,72
71182,10,5
71184,186,82
71185,105,40
71186,24,18
